time,IMSI,bw requested,real bandwith received,slice
2025-07-12 17:55:49.589852+00:00,999991000000091,6,11.24,UPF500
2025-07-12 17:55:54.883384+00:00,999991000000088,9,10.95,UPF250
2025-07-12 17:56:08.063445+00:00,999991000000092,5,11.47,UPF250
2025-07-12 17:56:09.953330+00:00,999991000000093,6,11.98,UPF500
2025-07-12 17:56:22.468914+00:00,999991000000092,9,0,UPF250
2025-07-12 17:56:22.469435+00:00,999991000000097,5,,UPF500
2025-07-12 17:56:22.599284+00:00,999991000000099,6,,UPF500
2025-07-12 17:58:52.456120+00:00,999991000000095,5,24.16,UPF500
2025-07-12 17:59:34.583158+00:00,999991000000092,7,3.85,UPF250
2025-07-12 17:59:45.217399+00:00,999991000000095,5,13.93,UPF500
2025-07-12 17:59:58.498658+00:00,999991000000092,5,7.92,UPF250
2025-07-12 18:00:00.448117+00:00,999991000000091,6,8.51,UPF500
2025-07-12 18:00:01.528210+00:00,999991000000092,6,8.71,UPF250
2025-07-12 18:00:14.885363+00:00,999991000000089,6,9.85,UPF500
2025-07-12 18:00:23.480186+00:00,999991000000090,5,10.09,UPF250
2025-07-12 18:00:55.057383+00:00,999991000000093,6,10.56,UPF500
2025-07-12 18:01:04.961292+00:00,999991000000094,7,0,UPF250
2025-07-12 18:01:06.820391+00:00,999991000000097,5,,UPF500
2025-07-12 18:01:06.853501+00:00,999991000000096,9,,UPF250
2025-07-12 18:01:06.892913+00:00,999991000000099,9,,UPF500
2025-07-12 18:03:33.268972+00:00,999991000000095,6,24.12,UPF500
2025-07-12 18:03:56.370978+00:00,999991000000094,8,13.21,UPF250
2025-07-12 18:04:11.164135+00:00,999991000000099,6,20.45,UPF500
2025-07-12 18:04:40.974681+00:00,999991000000087,5,13.58,UPF500
2025-07-12 18:04:48.175249+00:00,999991000000098,8,12.71,UPF250
2025-07-12 18:05:05.473121+00:00,999991000000087,6,11.62,UPF500
2025-07-12 18:05:26.896781+00:00,999991000000090,9,12.13,UPF250
2025-07-12 18:05:49.599224+00:00,999991000000092,7,12.48,UPF250
2025-07-12 18:05:50.213634+00:00,999991000000096,6,12.98,UPF250
2025-07-12 18:05:53.646232+00:00,999991000000087,6,17.15,UPF500
2025-07-12 18:05:56.934328+00:00,999991000000087,9,3.50,UPF500
2025-07-12 18:06:05.833075+00:00,999991000000094,6,0,UPF250
2025-07-12 18:06:08.354956+00:00,999991000000089,9,,UPF500
2025-07-12 18:08:34.343433+00:00,999991000000087,9,23.39,UPF500
2025-07-12 18:08:40.965336+00:00,999991000000098,7,16.46,UPF250
2025-07-12 18:08:54.221752+00:00,999991000000087,9,23.26,UPF500
2025-07-12 18:09:05.285133+00:00,999991000000088,8,14.51,UPF250
2025-07-12 18:09:45.116212+00:00,999991000000091,8,10.88,UPF500
2025-07-12 18:09:54.226764+00:00,999991000000099,7,16.00,UPF500
2025-07-12 18:09:57.409676+00:00,999991000000092,8,11.96,UPF250
2025-07-12 18:10:08.928137+00:00,999991000000088,6,11.90,UPF250
2025-07-12 18:10:42.611145+00:00,999991000000089,7,17.09,UPF500
2025-07-12 18:10:54.959859+00:00,999991000000095,6,,UPF500
2025-07-12 18:10:54.963040+00:00,999991000000094,6,,UPF250
2025-07-12 18:10:54.964361+00:00,999991000000094,5,,UPF250
2025-07-12 18:10:54.966173+00:00,999991000000095,7,,UPF500
2025-07-12 18:13:18.568352+00:00,999991000000095,6,25.38,UPF500
2025-07-12 18:13:31.194815+00:00,999991000000094,6,15.49,UPF250
2025-07-12 18:14:02.431407+00:00,999991000000094,7,13.46,UPF250
2025-07-12 18:14:18.675963+00:00,999991000000087,8,18.12,UPF500
2025-07-12 18:14:18.718169+00:00,999991000000090,9,14.89,UPF250
2025-07-12 18:14:23.772099+00:00,999991000000087,9,6.95,UPF500
2025-07-12 18:14:44.914672+00:00,999991000000092,9,13.80,UPF250
2025-07-12 18:15:05.759621+00:00,999991000000087,7,7.28,UPF500
2025-07-12 18:15:18.819688+00:00,999991000000087,6,17.37,UPF500
2025-07-12 18:15:34.701742+00:00,999991000000087,8,6.40,UPF500
2025-07-12 18:15:41.632299+00:00,999991000000094,9,0,UPF250
2025-07-12 18:15:42.618948+00:00,999991000000087,9,,UPF500
2025-07-12 18:15:42.659951+00:00,999991000000088,9,,UPF250
2025-07-12 18:18:03.583953+00:00,999991000000087,7,23.02,UPF500
2025-07-12 18:18:16.198332+00:00,999991000000094,9,16.54,UPF250
2025-07-12 18:18:35.319367+00:00,999991000000087,8,23.94,UPF500
2025-07-12 18:18:44.184127+00:00,999991000000088,5,13.83,UPF250
2025-07-12 18:18:56.113693+00:00,999991000000089,6,23.86,UPF500
2025-07-12 18:19:24.449555+00:00,999991000000093,7,16.49,UPF500
2025-07-12 18:19:32.356865+00:00,999991000000092,6,12.10,UPF250
2025-07-12 18:19:39.042927+00:00,999991000000098,6,12.38,UPF250
2025-07-12 18:20:19.225300+00:00,999991000000091,7,6.32,UPF500
2025-07-12 18:20:27.992320+00:00,999991000000096,5,0,UPF250
2025-07-12 18:20:31.512592+00:00,999991000000093,7,,UPF500
2025-07-12 18:20:31.608088+00:00,999991000000091,9,,UPF500
2025-07-12 18:20:31.713759+00:00,999991000000088,7,,UPF250
2025-07-12 18:23:03.995208+00:00,999991000000097,7,23.98,UPF500
2025-07-12 18:23:26.168822+00:00,999991000000098,6,17.78,UPF250
2025-07-12 18:23:32.597041+00:00,999991000000099,5,22.52,UPF500
2025-07-12 18:23:47.343389+00:00,999991000000098,5,3.60,UPF250
2025-07-12 18:23:47.751642+00:00,999991000000089,9,25.17,UPF500
2025-07-12 18:24:00.743300+00:00,999991000000098,9,13.17,UPF250
2025-07-12 18:24:09.726433+00:00,999991000000091,8,22.20,UPF500
2025-07-12 18:24:45.957971+00:00,999991000000097,6,19.63,UPF500
2025-07-12 18:24:55.274055+00:00,999991000000098,7,4.47,UPF250
2025-07-12 18:25:05.625091+00:00,999991000000095,7,16.66,UPF500
2025-07-12 18:25:17.632132+00:00,999991000000098,9,0,UPF250
2025-07-12 18:25:24.017826+00:00,999991000000097,9,,UPF500
2025-07-12 18:25:24.057321+00:00,999991000000094,9,,UPF250
2025-07-12 18:27:48.366625+00:00,999991000000099,5,25.17,UPF500
2025-07-12 18:28:00.320877+00:00,999991000000098,8,16.58,UPF250
2025-07-12 18:28:23.534354+00:00,999991000000093,7,29.94,UPF500
2025-07-12 18:28:55.080161+00:00,999991000000090,6,15.51,UPF250
2025-07-12 18:28:57.456099+00:00,999991000000099,7,14.73,UPF500
2025-07-12 18:29:02.615090+00:00,999991000000099,5,18.29,UPF500
2025-07-12 18:29:06.871085+00:00,999991000000088,6,12.49,UPF250
2025-07-12 18:29:32.012585+00:00,999991000000099,9,25.68,UPF500
2025-07-12 18:29:55.256841+00:00,999991000000092,5,12.23,UPF250
2025-07-12 18:30:19.226017+00:00,999991000000099,5,,UPF500
2025-07-12 18:30:19.284178+00:00,999991000000099,7,,UPF500
2025-07-12 18:30:19.300361+00:00,999991000000098,5,,UPF250
2025-07-12 18:30:19.402462+00:00,999991000000094,6,,UPF250
2025-07-12 18:32:42.486205+00:00,999991000000099,7,23.63,UPF500
2025-07-12 18:33:30.393133+00:00,999991000000096,8,3.67,UPF250
2025-07-12 18:33:39.661189+00:00,999991000000089,6,14.04,UPF500
2025-07-12 18:33:54.517192+00:00,999991000000096,6,10.56,UPF250
2025-07-12 18:34:03.004390+00:00,999991000000087,8,9.15,UPF500
2025-07-12 18:34:21.670107+00:00,999991000000093,6,8.76,UPF500
2025-07-12 18:34:23.717202+00:00,999991000000090,6,8.66,UPF250
2025-07-12 18:34:31.610540+00:00,999991000000089,9,8.23,UPF500
2025-07-12 18:34:40.893196+00:00,999991000000095,9,15.40,UPF500
2025-07-12 18:34:40.894140+00:00,999991000000092,6,9.81,UPF250
2025-07-12 18:35:03.444990+00:00,999991000000097,5,,UPF500
2025-07-12 18:35:03.470465+00:00,999991000000094,9,,UPF250
2025-07-12 18:35:03.489617+00:00,999991000000094,5,,UPF250
2025-07-12 18:37:28.824940+00:00,999991000000087,5,22.35,UPF500
2025-07-12 18:37:52.545922+00:00,999991000000098,8,13.11,UPF250
2025-07-12 18:38:10.367886+00:00,999991000000087,9,21.00,UPF500
2025-07-12 18:38:19.324691+00:00,999991000000094,6,21.91,UPF250
2025-07-12 18:38:32.413203+00:00,999991000000087,5,4.98,UPF500
2025-07-12 18:38:38.962172+00:00,999991000000094,9,3.72,UPF250
2025-07-12 18:39:10.506106+00:00,999991000000087,9,6.93,UPF500
2025-07-12 18:39:25.615927+00:00,999991000000088,6,12.40,UPF250
2025-07-12 18:39:29.450029+00:00,999991000000087,5,8.33,UPF500
2025-07-12 18:39:42.127991+00:00,999991000000087,8,0,UPF500
2025-07-12 18:39:47.669038+00:00,999991000000087,8,,UPF500
2025-07-12 18:39:47.720433+00:00,999991000000096,6,,UPF250
2025-07-12 18:39:47.809408+00:00,999991000000094,6,,UPF250
2025-07-12 18:42:19.792893+00:00,999991000000094,7,11.85,UPF250
2025-07-12 18:42:30.791831+00:00,999991000000087,9,23.37,UPF500
